employee code,   year, month,  day,  hour, mint,machine, status 
90,2022,5,1,5,9,1,2
80,2022,5,1,7,45,1,2
82,2022,5,1,7,53,1,2
83,2022,5,1,7,54,1,1
86,2022,5,1,7,58,1,2
44,2022,5,1,7,58,1,2
52,2022,5,1,7,59,1,2
66,2022,5,1,8,1,1,2
48,2022,5,1,8,2,1,2
42,2022,5,1,8,5,1,1
50,2022,5,1,8,11,1,2
40,2022,5,1,8,12,1,2
51,2022,5,1,8,12,1,1
47,2022,5,1,8,16,1,2
11,2022,5,1,8,18,1,2
73,2022,5,1,8,18,1,1
49,2022,5,1,8,19,1,2
11,2022,5,1,8,20,1,1
65,2022,5,1,8,45,1,1
76,2022,5,1,8,55,1,2
69,2022,5,1,9,6,1,1
21,2022,5,1,9,58,1,2
38,2022,5,1,10,3,1,1
27,2022,5,1,10,4,1,2
7,2022,5,1,10,52,1,2
35,2022,5,1,11,1,1,1
65,2022,5,1,12,11,1,2
44,2022,5,1,13,23,1,2
35,2022,5,1,13,37,1,2
45,2022,5,1,13,47,1,1
46,2022,5,1,14,14,1,1
53,2022,5,1,14,28,1,2
51,2022,5,1,14,28,1,2
69,2022,5,1,18,7,1,2
70,2022,5,1,19,38,1,1
40,2022,5,1,19,41,1,1
80,2022,5,1,19,47,1,2
59,2022,5,1,19,54,1,2
75,2022,5,1,19,56,1,1
86,2022,5,1,19,57,1,1
83,2022,5,1,19,57,1,2
85,2022,5,1,20,4,1,1
48,2022,5,1,20,5,1,1
52,2022,5,1,20,6,1,1
49,2022,5,1,20,12,1,1
45,2022,5,1,20,12,1,2
42,2022,5,1,20,12,1,2
46,2022,5,1,20,12,1,2
11,2022,5,1,20,13,1,2
73,2022,5,1,20,28,1,2
38,2022,5,1,20,30,1,2
27,2022,5,1,21,56,1,2
21,2022,5,1,21,58,1,1
83,2022,5,2,7,46,1,1
47,2022,5,2,7,51,1,1
86,2022,5,2,7,53,1,2
23,2022,5,2,7,56,1,1
40,2022,5,2,7,59,1,2
44,2022,5,2,8,0,1,2
50,2022,5,2,8,0,1,2
92,2022,5,2,8,1,1,1
52,2022,5,2,8,1,1,2
67,2022,5,2,8,3,1,1
53,2022,5,2,8,10,1,1
41,2022,5,2,8,12,1,1
51,2022,5,2,8,13,1,1
85,2022,5,2,8,13,1,2
48,2022,5,2,8,17,1,2
73,2022,5,2,8,18,1,1
75,2022,5,2,8,22,1,2
80,2022,5,2,8,24,1,1
49,2022,5,2,8,29,1,2
58,2022,5,2,8,30,1,2
81,2022,5,2,8,30,1,2
64,2022,5,2,8,30,1,1
60,2022,5,2,8,38,1,2
16,2022,5,2,8,41,1,1
28,2022,5,2,8,56,1,1
6,2022,5,2,8,57,1,1
69,2022,5,2,9,11,1,2
14,2022,5,2,9,14,1,1
65,2022,5,2,9,15,1,2
24,2022,5,2,9,36,1,2
89,2022,5,2,9,37,1,1
27,2022,5,2,9,39,1,1
12,2022,5,2,9,51,1,2
21,2022,5,2,10,3,1,2
13,2022,5,2,10,20,1,2
15,2022,5,2,10,26,1,1
29,2022,5,2,10,36,1,1
38,2022,5,2,10,59,1,1
26,2022,5,2,11,0,1,1
20,2022,5,2,11,8,1,1
71,2022,5,2,11,15,1,1
55,2022,5,2,11,40,1,1
